מחוז טריטוריאלי,חודש קבלה,עיר,יום בשבוע,כמות  אירועים
מחוז שי,3,אריאל,חמישי,2
מחוז שי,3,אריאל,שני,1
מחוז שי,3,בית אולא,שישי,1
מחוז שי,3,בית חורון,ראשון,1
מחוז שי,3,ביתר עילית,שני,2
מחוז שי,3,בלעא,שני,1
מחוז שי,3,בקעות,שישי,1
מחוז שי,3,גני מודיעין,שלישי,1
מחוז שי,3,חשמונאים,רביעי,1
מחוז שי,3,חשמונאים,שלישי,1
מחוז שי,3,יקיר,שישי,1
מחוז שי,3,כוכב יעקב,חמישי,1
מחוז שי,3,כוכב יעקב,רביעי,1
מחוז שי,3,כוכב יעקב,שלישי,1
מחוז שי,3,כפר עציון,שני,1
מחוז שי,3,לא ידוע,שלישי,1
מחוז שי,3,לא ידוע,שני,1
מחוז שי,3,מודיעין עילית,ראשון,1
מחוז שי,3,מודיעין עילית,חמישי,1
מחוז שי,3,מודיעין עילית,שלישי,1
מחוז שי,3,מעלה אדומים,שישי,2
מחוז שי,3,מעלה אדומים,רביעי,1
מחוז שי,3,מעלה אדומים,שני,2
מחוז שי,3,מעלה שומרון,שבת,1
מחוז שי,3,מעלה שומרון,שישי,1
מחוז שי,3,מעלה שומרון,רביעי,1
מחוז שי,3,עמנואל,שבת,1
מחוז שי,3,עמנואל,חמישי,1
מחוז שי,3,עץ אפרים,שני,1
מחוז שי,3,קדומים,ראשון,1
מחוז שי,3,קדומים,שלישי,1
מחוז שי,3,קדר,חמישי,1
מחוז שי,3,קלקיליה,שישי,1
מחוז שי,3,קרית ארבע,שלישי,1
מחוז שי,3,קרית ארבע,שני,1
מחוז שי,3,קרני שומרון,שבת,1
מחוז שי,3,קרני שומרון,שלישי,1
מחוז שי,3,רימונים,שבת,1
מחוז שי,3,רימונים,שני,1
מחוז שי,3,שערי תקווה,חמישי,1
מחוז שי,3,Total,,59
מחוז שי,Total,,,206
מחוז צפון,1,אכסאל,שישי,2
מחוז צפון,1,אכסאל,חמישי,1
מחוז צפון,1,אכסאל,רביעי,1
מחוז צפון,1,אכסאל,שני,1
מחוז צפון,1,אלונים,רביעי,1
מחוז צפון,1,אלקוש,שני,1
מחוז צפון,1,אעבלין,שני,1
מחוז צפון,1,בועיינה נוג'יידאת,שבת,1
מחוז צפון,1,בועיינה נוג'יידאת,רביעי,1
מחוז צפון,1,בוקעתא,ראשון,1
מחוז צפון,1,בוקעתא,שבת,1
מחוז צפון,1,ביענה,ראשון,1
מחוז צפון,1,ביענה,רביעי,1
מחוז צפון,1,ביר אל מכסור,שלישי,1
מחוז צפון,1,ביר אל מכסור,שני,1
מחוז צפון,1,ביריה,שישי,1
מחוז צפון,1,בית אלפא,ראשון,1
מחוז צפון,1,בית הלל,רביעי,1
מחוז צפון,1,בית שאן,ראשון,3
מחוז צפון,1,בית שאן,שבת,3
מחוז צפון,1,בית שאן,חמישי,1
מחוז צפון,1,בית שאן,שלישי,1
מחוז צפון,1,בית שאן,שני,2
מחוז צפון,1,דייר אל אסד,ראשון,1
מחוז צפון,1,דייר אל אסד,שבת,1
מחוז צפון,1,דייר אל אסד,חמישי,1
מחוז צפון,1,דייר אל אסד,רביעי,1
מחוז צפון,1,דייר אל אסד,שלישי,1
מחוז צפון,1,דייר אל אסד,שני,1
מחוז צפון,1,דייר חנא,שבת,1
מחוז צפון,1,דישון,שבת,1
מחוז צפון,1,דישון,שישי,1
מחוז צפון,1,דלתון,רביעי,1
מחוז צפון,1,היוגב,חמישי,1
מחוז צפון,1,זרזיר,רביעי,1
מחוז צפון,1,חולתה,שבת,1
מחוז צפון,1,חצור הגלילית,שבת,1
מחוז צפון,1,חצור הגלילית,שישי,1
מחוז צפון,1,חצור הגלילית,רביעי,1
מחוז צפון,1,חצור הגלילית,שלישי,2
מחוז צפון,1,טבריה,ראשון,5
מחוז צפון,1,טבריה,שבת,4
מחוז צפון,1,טבריה,שישי,3
מחוז צפון,1,טבריה,חמישי,2
מחוז צפון,1,טבריה,רביעי,5
מחוז צפון,1,טבריה,שלישי,3
מחוז צפון,1,טובא זנגריה,שבת,1
מחוז צפון,1,טובא זנגריה,שישי,1
מחוז צפון,1,טובא זנגריה,שני,1
מחוז צפון,1,טמרה,ראשון,2
מחוז צפון,1,טמרה,שבת,2
מחוז צפון,1,טמרה,שישי,3
מחוז צפון,1,טמרה,רביעי,2
מחוז צפון,1,טמרה,שלישי,1
מחוז צפון,1,טמרה,שני,1
מחוז צפון,1,יבנאל,שישי,1
מחוז צפון,1,יבנאל,שני,1
מחוז צפון,1,יקנעם עילית,שבת,1
מחוז צפון,1,יקנעם עילית,רביעי,1
מחוז צפון,1,ירדנה,רביעי,1
מחוז צפון,1,כאבול,ראשון,1
מחוז צפון,1,כאבול,שלישי,1
מחוז צפון,1,כיסרא סומיע,רביעי,1
מחוז צפון,1,כעביה טבאש חג'אג'רה,שבת,1
מחוז צפון,1,כעביה טבאש חג'אג'רה,רביעי,1
מחוז צפון,1,כפר ברוך,ראשון,1
מחוז צפון,1,כפר כנא,ראשון,1
מחוז צפון,1,כפר כנא,שני,1
מחוז צפון,1,כפר מנדא,שבת,1
מחוז צפון,1,כפר מנדא,שלישי,1
מחוז צפון,1,כפר תבור,ראשון,1
מחוז צפון,1,כרמיאל,ראשון,5
מחוז צפון,1,כרמיאל,שבת,3
מחוז צפון,1,כרמיאל,שישי,5
מחוז צפון,1,כרמיאל,חמישי,6
מחוז צפון,1,כרמיאל,רביעי,2
מחוז צפון,1,כרמיאל,שלישי,1
מחוז צפון,1,לא ידוע,חמישי,1
מחוז צפון,1,לא ידוע,שני,2
מחוז צפון,1,מג'ד אל כרום,רביעי,1
מחוז צפון,1,מגאר,ראשון,1
מחוז צפון,1,מגאר,שישי,3
מחוז צפון,1,מגאר,חמישי,1
מחוז צפון,1,מגאר,שלישי,1
מחוז צפון,1,מגדל העמק,ראשון,3
מחוז צפון,1,מגדל העמק,שבת,1
מחוז צפון,1,מגדל העמק,שישי,2
מחוז צפון,1,מגדל העמק,רביעי,1
מחוז צפון,1,מגדל העמק,שני,2
מחוז צפון,1,מגן שאול,חמישי,1
מחוז צפון,1,מחניים,שישי,1
מחוז צפון,1,מטולה,שישי,1
מחוז צפון,1,מנשית זבדה,רביעי,1
מחוז צפון,1,מסעדה,שישי,1
מחוז צפון,1,מסעדה,רביעי,1
מחוז צפון,1,מעיליא,שלישי,1
מחוז צפון,1,מעלות תרשיחא,שלישי,1
מחוז צפון,1,משהד,שישי,1
מחוז צפון,1,נוף הגליל,ראשון,1
