,,,שנה קבלת אירוע,Total,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017
מועצה  מקומית או עירייה או מועצה אזורית,נושא ארוע,סוג אירוע,רבעון קבלת אירוע,,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2
אופקים,אלימות,סכסוך שכנים עסקי,,232,188,47,38,58,45,44,40,$,-,-,-,-,-
אופקים,סמים ואלכוהול,Total,,97,44,7,14,15,8,42,10,17,7,8,11,$,9
אופקים,סמים ואלכוהול,שכרות,,97,44,7,14,15,8,42,10,17,7,8,11,$,9
אור יהודה,Total,,,10860,4021,740,1169,1124,988,5105,889,1464,1359,1393,1734,1015,719
אור יהודה,תנועה,Total,,4904,1421,340,321,379,381,2429,454,632,691,652,1054,681,373
אור יהודה,תנועה,הסגת גבול - חניה פרטית,,838,-,-,-,-,-,512,-,129,210,173,326,214,112
אור יהודה,תנועה,חסימת מעבר,,2325,709,178,153,186,192,1158,276,269,293,320,458,285,173
אור יהודה,תנועה,רכב חונה באיסור,,1741,712,162,168,193,189,759,178,234,188,159,270,182,88
אור יהודה,איכות חיים,Total,,5024,2200,336,739,631,494,2277,328,736,580,633,547,262,285
אור יהודה,איכות חיים,גרימת רעש מבית,,2559,1070,193,361,238,278,1162,213,374,252,323,327,176,151
אור יהודה,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,$,$
אור יהודה,איכות חיים,גרימת רעש ממקום ציבורי,,2252,1063,129,359,381,194,1003,92,321,296,294,186,67,119
אור יהודה,איכות חיים,גרימת רעש מעסק,,209,67,14,19,12,22,112,23,41,32,16,30,16,14
אור יהודה,סדר ציבורי,Total,,392,147,22,37,39,49,178,30,45,45,58,67,39,28
אור יהודה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,392,147,22,37,39,49,178,30,45,45,58,67,39,28
אור יהודה,אלימות,Total,,445,214,36,54,62,62,180,62,39,39,40,51,25,26
אור יהודה,אלימות,סכסוך - שכנים,,163,-,-,-,-,-,112,-,33,39,40,51,25,26
אור יהודה,אלימות,סכסוך שכנים עסקי,,282,214,36,54,62,62,68,62,6,-,-,-,-,-
אור יהודה,סמים ואלכוהול,Total,,95,39,6,18,13,$,41,15,12,$,10,15,8,7
אור יהודה,סמים ואלכוהול,שכרות,,95,39,6,18,13,$,41,15,12,$,10,15,8,7
אור עקיבא,Total,,,2981,1190,204,370,352,264,1270,231,343,322,374,521,301,220
אור עקיבא,תנועה,Total,,890,271,61,64,79,67,415,86,112,95,122,204,133,71
אור עקיבא,תנועה,הסגת גבול - חניה פרטית,,66,-,-,-,-,-,40,-,12,7,21,26,22,$
אור עקיבא,תנועה,חסימת מעבר,,611,182,45,41,50,46,296,70,75,69,82,133,80,53
אור עקיבא,תנועה,רכב חונה באיסור,,213,89,16,23,29,21,79,16,25,19,19,45,31,14
אור עקיבא,איכות חיים,Total,,1386,618,84,219,188,127,594,95,177,161,161,174,94,80
אור עקיבא,איכות חיים,גרימת רעש מבית,,861,353,63,126,98,66,386,66,123,101,96,122,75,47
אור עקיבא,איכות חיים,גרימת רעש ממקום ציבורי,,495,245,19,83,84,59,202,28,51,59,64,48,18,30
אור עקיבא,איכות חיים,גרימת רעש מעסק,,30,20,$,10,6,$,6,$,$,$,$,$,$,$
אור עקיבא,סדר ציבורי,Total,,357,148,31,51,38,28,145,25,29,39,52,64,35,29
אור עקיבא,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,357,148,31,51,38,28,145,25,29,39,52,64,35,29
אור עקיבא,אלימות,Total,,204,96,22,22,31,21,57,14,12,13,18,51,27,24
אור עקיבא,אלימות,סכסוך - שכנים,,92,-,-,-,-,-,41,-,10,13,18,51,27,24
אור עקיבא,אלימות,סכסוך שכנים עסקי,,112,96,22,22,31,21,16,14,$,-,-,-,-,-
אור עקיבא,סמים ואלכוהול,Total,,144,57,6,14,16,21,59,11,13,14,21,28,12,16
אור עקיבא,סמים ואלכוהול,שכרות,,144,57,6,14,16,21,59,11,13,14,21,28,12,16
אורנית,Total,,,1201,520,127,131,139,123,508,85,153,138,132,173,98,75
אורנית,תנועה,Total,,636,241,86,54,47,54,287,52,74,87,74,108,67,41
אורנית,תנועה,הסגת גבול - חניה פרטית,,54,-,-,-,-,-,34,-,15,10,9,20,10,10
אורנית,תנועה,חסימת מעבר,,465,180,57,39,41,43,208,47,53,54,54,77,53,24
אורנית,תנועה,רכב חונה באיסור,,117,61,29,15,6,11,45,5,6,23,11,11,$,7
אורנית,איכות חיים,Total,,476,230,30,66,79,55,196,28,70,46,52,50,25,25
אורנית,איכות חיים,גרימת רעש מבית,,330,166,25,52,50,39,129,23,41,30,35,35,19,16
אורנית,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,-,$
אורנית,איכות חיים,גרימת רעש ממקום ציבורי,,143,62,5,13,29,15,67,5,29,16,17,14,6,8
אורנית,איכות חיים,גרימת רעש מעסק,,$,$,-,$,-,$,-,-,-,-,-,-,-,-
אורנית,סדר ציבורי,Total,,25,12,$,$,$,$,8,-,$,$,$,5,$,$
אורנית,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,25,12,$,$,$,$,8,-,$,$,$,5,$,$
אורנית,אלימות,Total,,59,34,8,8,9,9,16,5,6,$,$,9,$,5
אורנית,אלימות,סכסוך - שכנים,,19,-,-,-,-,-,10,-,5,$,$,9,$,5
אורנית,אלימות,סכסוך שכנים עסקי,,40,34,8,8,9,9,6,5,$,-,-,-,-,-
אורנית,סמים ואלכוהול,Total,,5,$,$,-,$,$,$,-,-,-,$,$,$,-
אורנית,סמים ואלכוהול,שכרות,,5,$,$,-,$,$,$,-,-,-,$,$,$,-
אזור,Total,,,3010,1090,251,321,248,270,1334,292,373,319,350,586,355,231
אזור,תנועה,Total,,1633,501,139,117,113,132,738,163,176,196,203,394,251,143
אזור,תנועה,הסגת גבול - חניה פרטית,,109,-,-,-,-,-,62,-,24,14,24,47,34,13
אזור,תנועה,חסימת מעבר,,855,256,64,57,55,80,422,110,88,112,112,177,103,74
אזור,תנועה,רכב חונה באיסור,,669,245,75,60,58,52,254,53,64,70,67,170,114,56
אזור,איכות חיים,Total,,1112,472,88,166,109,109,483,96,163,101,123,157,82,75
אזור,איכות חיים,גרימת רעש מבית,,769,323,75,101,71,76,339,79,108,70,82,107,58,49
אזור,איכות חיים,גרימת רעש ממקום ציבורי,,316,137,9,62,36,30,133,14,50,28,41,46,21,25
אזור,איכות חיים,גרימת רעש מעסק,,27,12,$,$,$,$,11,$,5,$,-,$,$,$
אזור,סדר ציבורי,Total,,84,35,12,8,9,6,39,18,10,$,8,10,$,7
אזור,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,84,35,12,8,9,6,39,18,10,$,8,10,$,7
אזור,אלימות,Total,,160,71,11,25,15,20,68,12,23,17,16,21,16,5
אזור,אלימות,סכסוך - שכנים,,74,-,-,-,-,-,53,-,20,17,16,21,16,5
אזור,אלימות,סכסוך שכנים עסקי,,86,71,11,25,15,20,15,12,$,-,-,-,-,-
אזור,סמים ואלכוהול,Total,,21,11,$,5,$,$,6,$,$,$,-,$,$,$
אזור,סמים ואלכוהול,שכרות,,21,11,$,5,$,$,6,$,$,$,-,$,$,$
אילת,Total,,,22159,10509,2404,3100,2819,2186,8600,1899,2369,2384,1948,3050,1680,1370
אילת,תנועה,Total,,7620,3483,810,1088,991,594,3061,494,922,1019,626,1076,562,514
אילת,תנועה,הסגת גבול - חניה פרטית,,214,-,-,-,-,-,139,-,50,47,42,75,35,40
אילת,תנועה,חסימת מעבר,,4842,2197,459,705,632,401,1977,306,593,650,428,668,343,325
אילת,תנועה,רכב חונה באיסור,,2564,1286,351,383,359,193,945,188,279,322,156,333,184,149
אילת,איכות חיים,Total,,8675,4048,1021,1198,830,999,3403,870,876,757,900,1224,671,553
אילת,איכות חיים,גרימת רעש מבית,,5370,2480,666,708,484,622,2113,640,505,475,493,777,467,310
אילת,איכות חיים,גרימת רעש מבית תפילה,,11,-,-,-,-,-,-,-,-,-,-,11,7,$
אילת,איכות חיים,גרימת רעש ממקום ציבורי,,2631,1278,271,400,288,319,1028,191,282,226,329,325,134,191
אילת,איכות חיים,גרימת רעש מעסק,,663,290,84,90,58,58,262,39,89,56,78,111,63,48
אילת,סדר ציבורי,Total,,4013,1904,398,509,617,380,1538,314,409,483,332,571,340,231
אילת,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,4013,1904,398,509,617,380,1538,314,409,483,332,571,340,231
אילת,אלימות,Total,,1359,882,139,252,320,171,394,176,97,68,53,83,51,32
אילת,אלימות,סכסוך - שכנים,,272,-,-,-,-,-,189,-,68,68,53,83,51,32
אילת,אלימות,סכסוך שכנים עסקי,,1087,882,139,252,320,171,205,176,29,-,-,-,-,-
אילת,סמים ואלכוהול,Total,,492,192,36,53,61,42,204,45,65,57,37,96,56,40
אילת,סמים ואלכוהול,שכרות,,492,192,36,53,61,42,204,45,65,57,37,96,56,40
אכסאל,Total,,,202,78,20,16,28,14,89,17,22,27,23,35,19,16
אכסאל,תנועה,Total,,79,21,6,-,9,6,42,10,5,14,13,16,13,$
אכסאל,תנועה,הסגת גבול - חניה פרטית,,6,-,-,-,-,-,6,-,$,$,$,-,-,-
אכסאל,תנועה,חסימת מעבר,,60,19,6,-,8,5,30,7,$,9,10,11,11,-
אכסאל,תנועה,רכב חונה באיסור,,13,$,-,-,$,$,6,$,-,$,$,5,$,$
אכסאל,איכות חיים,Total,,57,27,5,10,11,$,20,$,8,6,$,10,$,7
אכסאל,איכות חיים,גרימת רעש מבית,,6,$,$,$,$,-,$,-,-,$,-,$,$,$
אכסאל,איכות חיים,גרימת רעש ממקום ציבורי,,48,23,$,8,10,$,18,$,7,5,$,7,$,5
אכסאל,איכות חיים,גרימת רעש מעסק,,$,$,-,$,-,-,$,-,$,-,-,$,-,$
אכסאל,סדר ציבורי,Total,,46,19,6,5,$,$,21,$,8,6,5,6,$,$
אכסאל,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,46,19,6,5,$,$,21,$,8,6,5,6,$,$
אכסאל,אלימות,Total,,20,11,$,$,$,$,6,$,$,$,$,$,$,$
אכסאל,אלימות,סכסוך - שכנים,,6,-,-,-,-,-,$,-,$,$,$,$,$,$
אכסאל,אלימות,סכסוך שכנים עסקי,,14,11,$,$,$,$,$,$,-,-,-,-,-,-
אליכין,Total,,,357,160,31,45,49,35,154,21,59,35,39,43,21,22
אליכין,תנועה,Total,,97,43,8,7,20,8,40,$,10,11,15,14,9,5
אליכין,תנועה,הסגת גבול - חניה פרטית,,6,-,-,-,-,-,$,-,-,$,$,$,-,$
אליכין,תנועה,חסימת מעבר,,71,32,6,6,13,7,31,$,10,7,11,8,6,$
אליכין,תנועה,רכב חונה באיסור,,20,11,$,$,7,$,6,$,-,$,$,$,$,-
אליכין,איכות חיים,Total,,224,98,18,33,21,26,100,13,42,24,21,26,9,17
אליכין,איכות חיים,גרימת רעש מבית,,171,74,13,28,16,17,77,10,33,21,13,20,7,13
אליכין,איכות חיים,גרימת רעש ממקום ציבורי,,51,23,$,5,5,9,22,$,8,$,8,6,$,$
אליכין,איכות חיים,גרימת רעש מעסק,,$,$,$,-,-,-,$,-,$,-,-,-,-,-
אליכין,סדר ציבורי,Total,,13,7,$,$,$,-,5,$,$,-,$,$,$,-
אליכין,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,13,7,$,$,$,-,5,$,$,-,$,$,$,-
אליכין,אלימות,Total,,22,12,$,$,$,$,9,$,$,-,$,$,$,-
אליכין,אלימות,סכסוך - שכנים,,$,-,-,-,-,-,$,-,$,-,$,$,$,-
אליכין,אלימות,סכסוך שכנים עסקי,,18,12,$,$,$,$,6,$,$,-,-,-,-,-
אליכין,סמים ואלכוהול,Total,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
