,,,שנה קבלת אירוע,Total,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017
מועצה  מקומית או עירייה או מועצה אזורית,נושא ארוע,סוג אירוע,רבעון קבלת אירוע,,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2
מועצה אזורית ברנר,איכות חיים,גרימת רעש ממקום ציבורי,,40,14,-,5,6,$,24,$,$,8,10,$,-,$
מועצה אזורית ברנר,איכות חיים,גרימת רעש מעסק,,8,$,$,$,-,-,$,$,-,$,$,$,-,$
מועצה אזורית ברנר,סדר ציבורי,Total,,16,8,$,$,-,$,6,$,$,$,-,$,-,$
מועצה אזורית ברנר,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,16,8,$,$,-,$,6,$,$,$,-,$,-,$
מועצה אזורית ברנר,אלימות,Total,,20,12,$,$,$,$,7,$,6,-,-,$,$,-
מועצה אזורית ברנר,אלימות,סכסוך - שכנים,,7,-,-,-,-,-,6,-,6,-,-,$,$,-
מועצה אזורית ברנר,אלימות,סכסוך שכנים עסקי,,13,12,$,$,$,$,$,$,-,-,-,-,-,-
מועצה אזורית ברנר,סמים ואלכוהול,Total,,11,$,$,-,$,-,$,-,$,-,$,$,$,$
מועצה אזורית ברנר,סמים ואלכוהול,שכרות,,11,$,$,-,$,-,$,-,$,-,$,$,$,$
מועצה אזורית גדרות,Total,,,146,64,7,16,31,10,56,5,14,17,20,26,15,11
מועצה אזורית גדרות,תנועה,Total,,40,13,$,$,5,$,17,-,$,$,11,10,5,5
מועצה אזורית גדרות,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,-,-,$,-,-,-
מועצה אזורית גדרות,תנועה,חסימת מעבר,,24,7,$,-,$,$,10,-,$,$,6,7,$,$
מועצה אזורית גדרות,תנועה,רכב חונה באיסור,,15,6,$,$,$,$,6,-,$,$,$,$,$,$
מועצה אזורית גדרות,איכות חיים,Total,,87,44,$,13,22,6,32,$,10,9,9,11,5,6
מועצה אזורית גדרות,איכות חיים,גרימת רעש מבית,,63,32,$,9,15,5,23,$,9,6,$,8,$,$
מועצה אזורית גדרות,איכות חיים,גרימת רעש ממקום ציבורי,,21,12,-,$,7,$,8,-,$,$,$,$,$,-
מועצה אזורית גדרות,איכות חיים,גרימת רעש מעסק,,$,-,-,-,-,-,$,-,-,-,$,$,-,$
מועצה אזורית גדרות,סדר ציבורי,Total,,6,$,$,$,$,-,$,-,-,$,-,-,-,-
מועצה אזורית גדרות,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,6,$,$,$,$,-,$,-,-,$,-,-,-,-
מועצה אזורית גדרות,אלימות,Total,,13,$,-,-,$,$,$,$,-,$,-,5,5,-
מועצה אזורית גדרות,אלימות,סכסוך - שכנים,,8,-,-,-,-,-,$,-,-,$,-,5,5,-
מועצה אזורית גדרות,אלימות,סכסוך שכנים עסקי,,5,$,-,-,$,$,$,$,-,-,-,-,-,-
מועצה אזורית גולן,Total,,,1093,441,44,185,158,54,525,44,216,181,84,127,34,93
מועצה אזורית גולן,תנועה,Total,,221,74,15,29,21,9,119,14,52,42,11,28,11,17
מועצה אזורית גולן,תנועה,הסגת גבול - חניה פרטית,,10,-,-,-,-,-,7,-,$,$,$,$,$,$
מועצה אזורית גולן,תנועה,חסימת מעבר,,188,64,14,26,18,6,104,13,44,38,9,20,8,12
מועצה אזורית גולן,תנועה,רכב חונה באיסור,,23,10,$,$,$,$,8,$,$,$,$,5,$,$
מועצה אזורית גולן,איכות חיים,Total,,723,296,23,126,111,36,350,23,148,118,61,77,15,62
מועצה אזורית גולן,איכות חיים,גרימת רעש מבית,,81,40,5,15,11,9,31,7,9,11,$,10,$,7
מועצה אזורית גולן,איכות חיים,גרימת רעש ממקום ציבורי,,570,235,13,103,96,23,274,9,123,94,48,61,9,52
מועצה אזורית גולן,איכות חיים,גרימת רעש מעסק,,72,21,5,8,$,$,45,7,16,13,9,6,$,$
מועצה אזורית גולן,סדר ציבורי,Total,,82,38,$,18,11,5,30,$,9,13,5,14,5,9
מועצה אזורית גולן,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,82,38,$,18,11,5,30,$,9,13,5,14,5,9
מועצה אזורית גולן,אלימות,Total,,43,27,$,8,13,$,9,$,$,$,$,7,$,$
מועצה אזורית גולן,אלימות,סכסוך - שכנים,,11,-,-,-,-,-,$,-,$,$,$,7,$,$
מועצה אזורית גולן,אלימות,סכסוך שכנים עסקי,,32,27,$,8,13,$,5,$,$,-,-,-,-,-
מועצה אזורית גולן,סמים ואלכוהול,Total,,24,6,-,$,$,-,17,$,$,6,6,$,-,$
מועצה אזורית גולן,סמים ואלכוהול,שכרות,,24,6,-,$,$,-,17,$,$,6,6,$,-,$
מועצה אזורית גוש עציון,Total,,,584,271,67,68,95,41,233,38,60,76,59,80,44,36
מועצה אזורית גוש עציון,תנועה,Total,,192,83,22,16,31,14,75,17,15,22,21,34,20,14
מועצה אזורית גוש עציון,תנועה,הסגת גבול - חניה פרטית,,10,-,-,-,-,-,7,-,$,$,5,$,$,$
מועצה אזורית גוש עציון,תנועה,חסימת מעבר,,145,62,17,13,20,12,54,15,11,15,13,29,17,12
מועצה אזורית גוש עציון,תנועה,רכב חונה באיסור,,37,21,5,$,11,$,14,$,$,6,$,$,$,$
מועצה אזורית גוש עציון,איכות חיים,Total,,299,151,34,42,53,22,112,9,27,45,31,36,19,17
מועצה אזורית גוש עציון,איכות חיים,גרימת רעש מבית,,191,89,24,31,25,9,75,6,16,28,25,27,15,12
מועצה אזורית גוש עציון,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,-,$
מועצה אזורית גוש עציון,איכות חיים,גרימת רעש ממקום ציבורי,,103,61,10,11,28,12,36,$,11,17,5,6,$,$
מועצה אזורית גוש עציון,איכות חיים,גרימת רעש מעסק,,$,$,-,-,-,$,$,-,-,-,$,-,-,-
מועצה אזורית גוש עציון,סדר ציבורי,Total,,31,13,$,5,$,$,11,$,$,$,$,7,$,$
מועצה אזורית גוש עציון,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,31,13,$,5,$,$,11,$,$,$,$,7,$,$
מועצה אזורית גוש עציון,אלימות,Total,,50,18,$,$,8,$,29,7,14,5,$,$,$,$
מועצה אזורית גוש עציון,אלימות,סכסוך - שכנים,,23,-,-,-,-,-,20,-,12,5,$,$,$,$
מועצה אזורית גוש עציון,אלימות,סכסוך שכנים עסקי,,27,18,$,$,8,$,9,7,$,-,-,-,-,-
מועצה אזורית גוש עציון,סמים ואלכוהול,Total,,12,6,$,$,$,-,6,$,$,$,-,-,-,-
מועצה אזורית גוש עציון,סמים ואלכוהול,שכרות,,12,6,$,$,$,-,6,$,$,$,-,-,-,-
מועצה אזורית גזר,Total,,,1991,838,145,248,231,214,816,130,239,247,200,337,157,180
מועצה אזורית גזר,תנועה,Total,,607,228,46,52,49,81,261,46,77,78,60,118,71,47
מועצה אזורית גזר,תנועה,הסגת גבול - חניה פרטית,,35,-,-,-,-,-,21,-,8,7,6,14,5,9
מועצה אזורית גזר,תנועה,חסימת מעבר,,387,143,32,30,30,51,167,31,42,51,43,77,51,26
מועצה אזורית גזר,תנועה,רכב חונה באיסור,,185,85,14,22,19,30,73,15,27,20,11,27,15,12
מועצה אזורית גזר,איכות חיים,Total,,1114,492,72,163,156,101,449,58,137,145,109,173,64,109
מועצה אזורית גזר,איכות חיים,גרימת רעש מבית,,772,362,49,126,114,73,300,37,92,104,67,110,36,74
מועצה אזורית גזר,איכות חיים,גרימת רעש מבית תפילה,,9,-,-,-,-,-,-,-,-,-,-,9,6,$
מועצה אזורית גזר,איכות חיים,גרימת רעש ממקום ציבורי,,298,113,20,31,37,25,137,17,43,39,38,48,19,29
מועצה אזורית גזר,איכות חיים,גרימת רעש מעסק,,35,17,$,6,5,$,12,$,$,$,$,6,$,$
מועצה אזורית גזר,סדר ציבורי,Total,,109,43,8,12,8,15,42,8,15,13,6,24,11,13
מועצה אזורית גזר,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,109,43,8,12,8,15,42,8,15,13,6,24,11,13
מועצה אזורית גזר,אלימות,Total,,138,66,15,16,18,17,51,14,6,10,21,21,11,10
מועצה אזורית גזר,אלימות,סכסוך - שכנים,,57,-,-,-,-,-,36,-,5,10,21,21,11,10
מועצה אזורית גזר,אלימות,סכסוך שכנים עסקי,,81,66,15,16,18,17,15,14,$,-,-,-,-,-
מועצה אזורית גזר,סמים ואלכוהול,Total,,23,9,$,5,-,-,13,$,$,$,$,$,-,$
מועצה אזורית גזר,סמים ואלכוהול,שכרות,,23,9,$,5,-,-,13,$,$,$,$,$,-,$
מועצה אזורית גן רווה,Total,,,576,216,27,57,97,35,282,50,94,106,32,78,34,44
מועצה אזורית גן רווה,תנועה,Total,,288,78,10,19,31,18,170,26,61,68,15,40,25,15
מועצה אזורית גן רווה,תנועה,הסגת גבול - חניה פרטית,,7,-,-,-,-,-,5,-,-,$,$,$,$,-
מועצה אזורית גן רווה,תנועה,חסימת מעבר,,216,60,7,15,23,15,124,20,38,52,14,32,19,13
מועצה אזורית גן רווה,תנועה,רכב חונה באיסור,,65,18,$,$,8,$,41,6,23,12,-,6,$,$
מועצה אזורית גן רווה,איכות חיים,Total,,226,109,12,29,54,14,88,17,24,34,13,29,5,24
מועצה אזורית גן רווה,איכות חיים,גרימת רעש מבית,,108,46,$,7,26,9,44,12,13,15,$,18,$,14
מועצה אזורית גן רווה,איכות חיים,גרימת רעש ממקום ציבורי,,102,52,6,18,23,5,41,$,10,18,9,9,-,9
מועצה אזורית גן רווה,איכות חיים,גרימת רעש מעסק,,16,11,$,$,5,-,$,$,$,$,-,$,$,$
מועצה אזורית גן רווה,סדר ציבורי,Total,,26,14,-,6,5,$,6,$,$,$,$,6,$,$
מועצה אזורית גן רווה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,26,14,-,6,5,$,6,$,$,$,$,6,$,$
מועצה אזורית גן רווה,אלימות,Total,,18,9,$,$,$,-,8,5,$,-,$,$,-,$
מועצה אזורית גן רווה,אלימות,סכסוך - שכנים,,$,-,-,-,-,-,$,-,-,-,$,$,-,$
מועצה אזורית גן רווה,אלימות,סכסוך שכנים עסקי,,16,9,$,$,$,-,7,5,$,-,-,-,-,-
מועצה אזורית גן רווה,סמים ואלכוהול,Total,,18,6,$,$,$,-,10,$,5,$,$,$,$,$
מועצה אזורית גן רווה,סמים ואלכוהול,שכרות,,18,6,$,$,$,-,10,$,5,$,$,$,$,$
מועצה אזורית דרום השרון,Total,,,3052,1219,207,391,319,302,1390,284,391,362,353,443,228,215
מועצה אזורית דרום השרון,תנועה,Total,,1308,434,98,113,105,118,665,173,182,145,165,209,135,74
מועצה אזורית דרום השרון,תנועה,הסגת גבול - חניה פרטית,,120,-,-,-,-,-,83,-,22,31,30,37,23,14
מועצה אזורית דרום השרון,תנועה,חסימת מעבר,,745,292,73,76,71,72,326,79,101,62,84,127,83,44
מועצה אזורית דרום השרון,תנועה,רכב חונה באיסור,,443,142,25,37,34,46,256,94,59,52,51,45,29,16
מועצה אזורית דרום השרון,איכות חיים,Total,,1470,659,90,238,170,161,614,83,171,188,172,197,69,128
מועצה אזורית דרום השרון,איכות חיים,גרימת רעש מבית,,887,375,55,139,95,86,388,48,109,119,112,124,40,84
מועצה אזורית דרום השרון,איכות חיים,גרימת רעש מבית תפילה,,6,-,-,-,-,-,-,-,-,-,-,6,$,$
מועצה אזורית דרום השרון,איכות חיים,גרימת רעש ממקום ציבורי,,488,233,27,88,60,58,197,27,56,62,52,58,21,37
מועצה אזורית דרום השרון,איכות חיים,גרימת רעש מעסק,,89,51,8,11,15,17,29,8,6,7,8,9,6,$
מועצה אזורית דרום השרון,סדר ציבורי,Total,,110,47,8,15,15,9,43,7,14,14,8,20,13,7
מועצה אזורית דרום השרון,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,110,47,8,15,15,9,43,7,14,14,8,20,13,7
מועצה אזורית דרום השרון,אלימות,Total,,131,67,7,21,26,13,56,19,19,12,6,8,5,$
מועצה אזורית דרום השרון,אלימות,סכסוך - שכנים,,36,-,-,-,-,-,28,-,10,12,6,8,5,$
מועצה אזורית דרום השרון,אלימות,סכסוך שכנים עסקי,,95,67,7,21,26,13,28,19,9,-,-,-,-,-
מועצה אזורית דרום השרון,סמים ואלכוהול,Total,,33,12,$,$,$,$,12,$,5,$,$,9,6,$
מועצה אזורית דרום השרון,סמים ואלכוהול,שכרות,,33,12,$,$,$,$,12,$,5,$,$,9,6,$
מועצה אזורית הגלבוע,Total,,,1025,450,70,149,149,82,456,67,155,130,104,119,64,55
מועצה אזורית הגלבוע,תנועה,Total,,120,40,7,16,10,7,57,9,18,21,9,23,15,8
מועצה אזורית הגלבוע,תנועה,הסגת גבול - חניה פרטית,,6,-,-,-,-,-,$,-,$,$,-,$,$,$
מועצה אזורית הגלבוע,תנועה,חסימת מעבר,,86,33,7,11,9,6,40,6,13,16,5,13,7,6
מועצה אזורית הגלבוע,תנועה,רכב חונה באיסור,,28,7,-,5,$,$,13,$,$,$,$,8,7,$
מועצה אזורית הגלבוע,איכות חיים,Total,,716,334,48,112,119,55,309,34,115,85,75,73,34,39
מועצה אזורית הגלבוע,איכות חיים,גרימת רעש מבית,,327,153,28,44,58,23,132,14,50,30,38,42,24,18
מועצה אזורית הגלבוע,איכות חיים,גרימת רעש ממקום ציבורי,,290,141,16,56,43,26,124,17,46,33,28,25,6,19
מועצה אזורית הגלבוע,איכות חיים,גרימת רעש מעסק,,99,40,$,12,18,6,53,$,19,22,9,6,$,$
מועצה אזורית הגלבוע,סדר ציבורי,Total,,99,39,11,7,8,13,43,10,12,10,11,17,10,7
מועצה אזורית הגלבוע,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,99,39,11,7,8,13,43,10,12,10,11,17,10,7
מועצה אזורית הגלבוע,אלימות,Total,,68,31,$,11,12,6,33,8,9,11,5,$,$,$
מועצה אזורית הגלבוע,אלימות,סכסוך - שכנים,,27,-,-,-,-,-,23,-,7,11,5,$,$,$
מועצה אזורית הגלבוע,אלימות,סכסוך שכנים עסקי,,41,31,$,11,12,6,10,8,$,-,-,-,-,-
מועצה אזורית הגלבוע,סמים ואלכוהול,Total,,22,6,$,$,-,$,14,6,$,$,$,$,$,-
מועצה אזורית הגלבוע,סמים ואלכוהול,שכרות,,22,6,$,$,-,$,14,6,$,$,$,$,$,-
מועצה אזורית הגליל העליון,Total,,,652,265,17,93,111,44,326,40,115,106,65,61,29,32
מועצה אזורית הגליל העליון,תנועה,Total,,169,69,6,18,24,21,77,13,23,29,12,23,12,11
מועצה אזורית הגליל העליון,תנועה,הסגת גבול - חניה פרטית,,6,-,-,-,-,-,5,-,$,$,$,$,$,-
מועצה אזורית הגליל העליון,תנועה,חסימת מעבר,,130,52,5,13,18,16,61,10,19,22,10,17,7,10
מועצה אזורית הגליל העליון,תנועה,רכב חונה באיסור,,33,17,$,5,6,5,11,$,$,$,$,5,$,$
מועצה אזורית הגליל העליון,איכות חיים,Total,,374,154,$,63,68,19,199,19,76,63,41,21,8,13
מועצה אזורית הגליל העליון,איכות חיים,גרימת רעש מבית,,46,17,$,9,$,$,26,$,12,$,7,$,$,$
מועצה אזורית הגליל העליון,איכות חיים,גרימת רעש ממקום ציבורי,,280,127,$,53,60,12,138,9,54,51,24,15,$,11
מועצה אזורית הגליל העליון,איכות חיים,גרימת רעש מעסק,,48,10,-,$,5,$,35,6,10,9,10,$,$,-
מועצה אזורית הגליל העליון,סדר ציבורי,Total,,67,25,6,5,12,$,32,5,13,8,6,10,5,5
מועצה אזורית הגליל העליון,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,67,25,6,5,12,$,32,5,13,8,6,10,5,5
מועצה אזורית הגליל העליון,אלימות,Total,,29,12,-,5,5,$,11,$,$,$,$,6,$,$
מועצה אזורית הגליל העליון,אלימות,סכסוך - שכנים,,13,-,-,-,-,-,7,-,$,$,$,6,$,$
מועצה אזורית הגליל העליון,אלימות,סכסוך שכנים עסקי,,16,12,-,5,5,$,$,$,$,-,-,-,-,-
מועצה אזורית הגליל העליון,סמים ואלכוהול,Total,,13,5,$,$,$,-,7,$,-,$,$,$,$,-
מועצה אזורית הגליל העליון,סמים ואלכוהול,שכרות,,13,5,$,$,$,-,7,$,-,$,$,$,$,-
מועצה אזורית הגליל התחתון,Total,,,283,116,9,37,39,31,121,22,38,23,38,46,25,21
מועצה אזורית הגליל התחתון,תנועה,Total,,64,17,$,5,$,5,33,10,9,$,10,14,11,$
מועצה אזורית הגליל התחתון,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,-,$,$,-,-,-
מועצה אזורית הגליל התחתון,תנועה,חסימת מעבר,,51,15,$,5,$,$,23,9,6,$,6,13,10,$
מועצה אזורית הגליל התחתון,תנועה,רכב חונה באיסור,,10,$,-,-,-,$,7,$,$,-,$,$,$,-
מועצה אזורית הגליל התחתון,איכות חיים,Total,,161,80,$,25,32,19,66,6,22,15,23,15,5,10
מועצה אזורית הגליל התחתון,איכות חיים,גרימת רעש מבית,,66,31,$,15,11,$,29,$,11,9,6,6,$,$
מועצה אזורית הגליל התחתון,איכות חיים,גרימת רעש ממקום ציבורי,,83,45,$,10,19,13,33,$,10,5,15,5,-,5
מועצה אזורית הגליל התחתון,איכות חיים,גרימת רעש מעסק,,12,$,-,-,$,$,$,-,$,$,$,$,$,$
מועצה אזורית הגליל התחתון,סדר ציבורי,Total,,23,7,-,$,$,$,7,$,$,$,$,9,5,$
מועצה אזורית הגליל התחתון,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,23,7,-,$,$,$,7,$,$,$,$,9,5,$
מועצה אזורית הגליל התחתון,אלימות,Total,,24,7,$,$,$,$,11,$,$,$,$,6,$,$
מועצה אזורית הגליל התחתון,אלימות,סכסוך - שכנים,,14,-,-,-,-,-,8,-,$,$,$,6,$,$
מועצה אזורית הגליל התחתון,אלימות,סכסוך שכנים עסקי,,10,7,$,$,$,$,$,$,-,-,-,-,-,-
מועצה אזורית הגליל התחתון,סמים ואלכוהול,Total,,11,5,-,$,$,$,$,$,$,$,-,$,$,-
מועצה אזורית הגליל התחתון,סמים ואלכוהול,שכרות,,11,5,-,$,$,$,$,$,$,$,-,$,$,-
מועצה אזורית הערבה התיכונה,Total,,,67,28,8,10,6,$,27,10,8,6,$,12,9,$
מועצה אזורית הערבה התיכונה,תנועה,Total,,15,$,$,$,-,$,9,$,$,$,-,$,$,-
מועצה אזורית הערבה התיכונה,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,$,-,-,-,-,-
מועצה אזורית הערבה התיכונה,תנועה,חסימת מעבר,,9,$,$,$,-,-,5,$,$,$,-,$,$,-
מועצה אזורית הערבה התיכונה,תנועה,רכב חונה באיסור,,5,$,-,$,-,$,$,$,$,-,-,-,-,-
מועצה אזורית הערבה התיכונה,איכות חיים,Total,,28,12,$,$,$,$,11,5,$,$,$,5,$,$
מועצה אזורית הערבה התיכונה,איכות חיים,גרימת רעש מבית,,18,8,$,$,$,$,6,$,-,$,$,$,$,$
מועצה אזורית הערבה התיכונה,איכות חיים,גרימת רעש ממקום ציבורי,,10,$,$,$,-,$,5,$,$,-,$,$,-,$
מועצה אזורית הערבה התיכונה,סדר ציבורי,Total,,15,8,$,$,$,$,$,-,-,$,$,$,$,$
מועצה אזורית הערבה התיכונה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,15,8,$,$,$,$,$,-,-,$,$,$,$,$
מועצה אזורית הערבה התיכונה,אלימות,Total,,8,$,$,$,-,-,$,$,$,-,-,$,$,-
מועצה אזורית הערבה התיכונה,אלימות,סכסוך - שכנים,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
מועצה אזורית הערבה התיכונה,אלימות,סכסוך שכנים עסקי,,7,$,$,$,-,-,$,$,$,-,-,-,-,-
מועצה אזורית הערבה התיכונה,סמים ואלכוהול,Total,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
מועצה אזורית הערבה התיכונה,סמים ואלכוהול,שכרות,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
מועצה אזורית הר חברון,Total,,,82,37,5,17,10,5,38,$,11,18,6,7,5,$
מועצה אזורית הר חברון,תנועה,Total,,18,8,$,$,$,$,7,-,$,$,$,$,$,-
מועצה אזורית הר חברון,תנועה,חסימת מעבר,,17,7,$,$,$,$,7,-,$,$,$,$,$,-
מועצה אזורית הר חברון,תנועה,רכב חונה באיסור,,$,$,-,-,$,-,-,-,-,-,-,-,-,-
מועצה אזורית הר חברון,איכות חיים,Total,,45,18,$,13,$,$,26,$,7,13,$,$,-,$
מועצה אזורית הר חברון,איכות חיים,גרימת רעש מבית,,19,13,-,10,$,$,5,$,$,$,$,$,-,$
מועצה אזורית הר חברון,איכות חיים,גרימת רעש ממקום ציבורי,,26,5,$,$,$,-,21,$,5,12,$,-,-,-
מועצה אזורית הר חברון,סדר ציבורי,Total,,7,$,$,-,$,-,$,-,-,$,-,$,$,$
מועצה אזורית הר חברון,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,7,$,$,-,$,-,$,-,-,$,-,$,$,$
מועצה אזורית הר חברון,אלימות,Total,,11,7,-,$,$,$,$,$,-,$,-,-,-,-
מועצה אזורית הר חברון,אלימות,סכסוך - שכנים,,$,-,-,-,-,-,$,-,-,$,-,-,-,-
מועצה אזורית הר חברון,אלימות,סכסוך שכנים עסקי,,8,7,-,$,$,$,$,$,-,-,-,-,-,-
מועצה אזורית הר חברון,סמים ואלכוהול,Total,,$,$,-,-,$,-,-,-,-,-,-,-,-,-
מועצה אזורית הר חברון,סמים ואלכוהול,שכרות,,$,$,-,-,$,-,-,-,-,-,-,-,-,-
מועצה אזורית זבולון,Total,,,502,191,32,58,48,53,235,49,72,47,67,76,39,37
מועצה אזורית זבולון,תנועה,Total,,136,51,12,8,18,13,71,12,21,14,24,14,6,8
מועצה אזורית זבולון,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,-,-,$,-,-,-
מועצה אזורית זבולון,תנועה,חסימת מעבר,,98,37,7,$,17,9,49,7,16,11,15,12,6,6
מועצה אזורית זבולון,תנועה,רכב חונה באיסור,,36,14,5,$,$,$,20,5,5,$,7,$,-,$
מועצה אזורית זבולון,איכות חיים,Total,,294,122,15,44,26,37,127,28,44,25,30,45,24,21
מועצה אזורית זבולון,איכות חיים,גרימת רעש מבית,,101,40,$,14,11,12,41,6,16,5,14,20,10,10
מועצה אזורית זבולון,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
מועצה אזורית זבולון,איכות חיים,גרימת רעש ממקום ציבורי,,162,70,7,28,14,21,76,18,23,19,16,16,7,9
מועצה אזורית זבולון,איכות חיים,גרימת רעש מעסק,,30,12,5,$,$,$,10,$,5,$,-,8,6,$
מועצה אזורית זבולון,סדר ציבורי,Total,,47,12,$,$,$,$,24,$,5,6,9,11,6,5
מועצה אזורית זבולון,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,47,12,$,$,$,$,24,$,5,6,9,11,6,5
מועצה אזורית זבולון,אלימות,Total,,11,$,-,$,$,$,$,$,-,-,-,$,$,$
מועצה אזורית זבולון,אלימות,סכסוך - שכנים,,$,-,-,-,-,-,-,-,-,-,-,$,$,$
מועצה אזורית זבולון,אלימות,סכסוך שכנים עסקי,,7,$,-,$,$,$,$,$,-,-,-,-,-,-
מועצה אזורית זבולון,סמים ואלכוהול,Total,,14,$,$,$,-,-,9,$,$,$,$,$,$,-
מועצה אזורית זבולון,סמים ואלכוהול,שכרות,,14,$,$,$,-,-,9,$,$,$,$,$,$,-
מועצה אזורית חבל אילות,Total,,,117,54,$,16,25,10,48,11,15,13,9,15,9,6
מועצה אזורית חבל אילות,תנועה,Total,,16,6,$,$,$,-,9,$,$,$,$,$,$,-
מועצה אזורית חבל אילות,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,-,-,$,-,-,-
מועצה אזורית חבל אילות,תנועה,חסימת מעבר,,5,$,-,$,$,-,$,$,-,$,$,-,-,-
מועצה אזורית חבל אילות,תנועה,רכב חונה באיסור,,10,$,$,$,$,-,5,$,$,$,$,$,$,-
מועצה אזורית חבל אילות,איכות חיים,Total,,73,32,$,9,15,7,31,5,14,7,5,10,6,$
מועצה אזורית חבל אילות,איכות חיים,גרימת רעש מבית,,22,$,-,$,$,$,11,$,$,$,$,7,$,$
מועצה אזורית חבל אילות,איכות חיים,גרימת רעש ממקום ציבורי,,23,13,-,$,6,$,9,$,5,$,$,$,$,-
מועצה אזורית חבל אילות,איכות חיים,גרימת רעש מעסק,,28,15,$,$,8,$,11,-,5,5,$,$,$,$
מועצה אזורית חבל אילות,סדר ציבורי,Total,,20,10,-,$,7,$,6,$,-,$,$,$,$,$
מועצה אזורית חבל אילות,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,20,10,-,$,7,$,6,$,-,$,$,$,$,$
מועצה אזורית חבל אילות,אלימות,Total,,7,5,-,$,$,$,$,$,-,-,-,-,-,-
מועצה אזורית חבל אילות,אלימות,סכסוך שכנים עסקי,,7,5,-,$,$,$,$,$,-,-,-,-,-,-
מועצה אזורית חבל אילות,סמים ואלכוהול,Total,,$,$,-,$,-,-,-,-,-,-,-,-,-,-
מועצה אזורית חבל אילות,סמים ואלכוהול,שכרות,,$,$,-,$,-,-,-,-,-,-,-,-,-,-
מועצה אזורית חבל יבנה,Total,,,327,85,9,23,37,16,174,21,39,65,49,68,34,34
מועצה אזורית חבל יבנה,תנועה,Total,,64,19,6,$,6,$,34,$,14,5,11,11,8,$
מועצה אזורית חבל יבנה,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,-,-,$,$,$,-
מועצה אזורית חבל יבנה,תנועה,חסימת מעבר,,50,13,5,$,$,$,28,$,11,5,9,9,7,$
מועצה אזורית חבל יבנה,תנועה,רכב חונה באיסור,,12,6,$,$,$,$,5,$,$,-,$,$,-,$
מועצה אזורית חבל יבנה,איכות חיים,Total,,231,49,-,17,24,8,127,10,23,57,37,55,25,30
מועצה אזורית חבל יבנה,איכות חיים,גרימת רעש מבית,,162,29,-,11,11,7,93,10,18,41,24,40,19,21
מועצה אזורית חבל יבנה,איכות חיים,גרימת רעש ממקום ציבורי,,53,16,-,6,9,$,30,-,5,13,12,7,$,5
מועצה אזורית חבל יבנה,איכות חיים,גרימת רעש מעסק,,16,$,-,-,$,-,$,-,-,$,$,8,$,$
מועצה אזורית חבל יבנה,סדר ציבורי,Total,,20,12,$,$,$,$,6,$,-,$,-,$,$,$
מועצה אזורית חבל יבנה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,20,12,$,$,$,$,6,$,-,$,-,$,$,$
מועצה אזורית חבל יבנה,אלימות,Total,,12,5,-,-,$,$,7,$,$,$,$,-,-,-
מועצה אזורית חבל יבנה,אלימות,סכסוך - שכנים,,$,-,-,-,-,-,$,-,$,$,$,-,-,-
מועצה אזורית חבל יבנה,אלימות,סכסוך שכנים עסקי,,9,5,-,-,$,$,$,$,$,-,-,-,-,-
מועצה אזורית חבל מודיעין,Total,,,2493,1135,180,363,364,228,1019,195,325,264,235,339,154,185
מועצה אזורית חבל מודיעין,תנועה,Total,,782,319,61,91,103,64,326,72,89,90,75,137,84,53
מועצה אזורית חבל מודיעין,תנועה,הסגת גבול - חניה פרטית,,53,-,-,-,-,-,39,-,10,21,8,14,12,$
מועצה אזורית חבל מודיעין,תנועה,חסימת מעבר,,511,205,34,64,66,41,205,48,58,51,48,101,61,40
